date	Biden	Sanders
20181211	30.0	13.0
20181213	32.0	19.0
20181217	20.0	20.0
20190202	27.295	12.59
20190306	27.0	25.0
20190315	29.0	15.0
20190324	25.15	20.55
20190409	27.0	16.0
20190418	19.0	19.0
20190502	34.9	13.7
20190519	24.0	24.0
20190605	24.0	16.0
20190612	30.0	22.0
20190620	27.0	18.0
20190701	20.5	10.5
20190704	16.0	16.0
20190718	24.0	19.0
20190725	22.9	10.9
20190804	28.0	9.0
20190811	17.0	17.0
20190904	29.0	26.0
20190916	25.0	9.0
20190917	16.0	16.0
20190918	20.0	11.0
20191010	21.5	5.0
20191011	22.0	21.0
20191016	22.8	12.5
20191018	17.6	9.0
20191022	12.0	18.0
20191030	17.0	19.0
20191105	15.0	17.0
20191106	13.0	14.0
20191110	15.3	18.1
20191111	19.0	13.0
20191113	18.5	18.5
20191119	12.0	18.0
20191210	23.3	21.7
20191216	15.0	21.0
20200103	23.0	23.0
20200108	15.0	20.0
20200112	26.0	21.0
20200117	23.3	10.3
20200118	24.0	14.0
20200121	17.0	24.0
20200123	21.0	24.0
20200126	21.575	26.35
20200127	22.25	23.0
20200128	20.0	18.0
20200129	15.0	28.0
20200130	26.0	26.666666666666668
20200202	19.5	24.75
